你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第4批，共4批）---

ID | 原文 | 译文
1501 | 1.根据联盟对决的对决主题，土拨鼠领袖可定制自选礼包奖励。 | 1.Based on the Alliance Duel theme, the Groundhog Leader can customize a Pack reward of their choice.
1502 | 探寻末世的珍稀材料，打造和升级军火装备可以提供巨额增益。 | Hunt for rare materials in the post-apocalyptic world; crafting and upgrading weapons and gear can grant massive boosts.
1503 | 【居民管理】\n1.当内城中存在空闲床位时，可以接收前来投靠的居民。\n2.通过升级宿舍解锁更多床位、完成广播站中的救援情报，可以获得投靠的居民。\n3.内城的床位上限为64，到达总上限后，玩家仍可以接收20位无床的居民，当无床的居民人数也达到上限时，将自动关闭居民投靠。可以通过踢出无床的居民来获取更多的居民。\n4.无床的居民可以和内城有床位的居民进行替换，替换后，原内城居民将变为无床的居民。\n\n【居民工作】\n1.居民可以上阵到对应岗位，维持避难所的运转。岗位根据建筑等级解锁，无床的居民无法上阵。\n3.居民拥有词条特征，根据各自的特征，指派成为不同的职业时，工作表现将有所区别，请根据居民的特长分配工作吧！\n3.发电厂达到5级后，可以解锁自动分配功能，开启自动分配后，将在接收新的居民或者解锁新的工作岗位时，自动进行工作分配。 | 【Resident Management】\n1.When there are free beds available in the Inner City, you can accept Residents who come seeking shelter.\n2.Upgrade Dormitories to unlock more beds, and complete rescue Intel at the Broadcast Station to get new Residents.\n3.The bed limit in the Inner City is 64. After reaching the total limit, you can still accept up to 20 bedless Residents. When the number of bedless Residents also reaches its limit, new Residents will automatically stop joining. You can kick out bedless Residents to make room for more Residents.\n4.Bedless Residents can be swapped with Residents who currently occupy beds in the Inner City. After the swap, the original Inner City Resident will become a bedless Resident.\n\n【Resident Work】\n1.Residents can be assigned to corresponding posts to keep the Shelter running. Posts are unlocked according to Building Level, and bedless Residents cannot be assigned.\n3.Each Resident has trait entries. Depending on their traits, their job performance will differ when they are assigned to different professions. Please assign jobs based on each Resident’s strengths!\n3.After the Power Station reaches Level 5, the Auto-Assign function is unlocked. When Auto-Assign is enabled, jobs will be assigned automatically whenever you accept new Residents or unlock new posts.
1504 | 1.土拨鼠领袖获得装饰物道具后，可以在陈列室中解锁装饰物，解锁后的装饰物将提供对应的属性增益，持有多个装饰物的属性加成可以叠加。\n2.消耗装饰物碎片可以提升装饰物的星级，以获取更强的属性加成。重复获得的装饰物将转化为对应的碎片。\n3.土拨鼠领袖可以在陈列室中展示心仪的装饰物，未展示的装饰物仍然可以正常提供属性加成。 | 1.After the Groundhog Leader gets a decoration item, they can unlock it in the Art Gallery. The unlocked decoration will provide the corresponding attribute bonus, and the attribute bonuses from multiple decorations can stack.\n2.Spend Decoration Shards to increase a decoration’s star level and gain stronger attribute bonuses. Duplicate decorations will be converted into the corresponding shards.\n3.The Groundhog Leader can showcase their favorite decorations in the Art Gallery, and decorations that are not showcased will still provide their attribute bonuses as normal.
1505 | 传闻先祖在世界的某处埋藏了丰厚的宝藏，收集全部宝藏线索，即可获得先祖遗留宝藏！提升情报等级，可以获取更多宝藏线索！ | Rumor has it that an ancestor buried a great treasure somewhere in the world. Collect all treasure clues to claim the treasure they left behind! Increase your Intel level to get more treasure clues!
1506 | 请返回内城使用装饰建筑 | Please return to the inner city and use decorative buildings
1507 | 时代升级中，无法切换场景 | Upgrading era, cannot switch scenes
1508 | 当前处于奇观争夺中，暂不可进入大地图 | You are currently in a Wonder Battle and cannot enter the world map
1509 | 副本场景无法进行跳转，请先退出副本 | You can’t switch scenes while in a dungeon. Please exit the dungeon first
1510 | 不能迁城到他人联盟领土上 | You can’t relocate your city onto another alliance’s territory
1511 | 无可迁城空地 | No available tile to relocate your city
1512 | 推进主线任务后可修复 | Can be repaired after progressing the main story
1513 | 采矿冷却中 | Mining on Cooldown
1514 | 激活时代科技-点木成金后可出售 | Can be sold after activating Era Tech: Wood to Gold
1515 | 今日货车贸易次数已用完 | You’ve used up all your Truck Trade attempts for today
1516 | 您与发现该山洞的领主不是盟友，无法前往探索 | You are not allied with the lord who discovered this cave and cannot explore it
1517 | 请先消灭附近怪物 | Please eliminate the nearby monsters first
1518 | 该轮次尚未完成，无法领取奖励 | This round is not yet complete and you cannot claim the reward
1519 | 您未通过该轮次，无法领取奖励 | You did not pass this round and cannot claim the reward
1520 | 您未能参与该轮次，无法领取奖励 | You did not participate in this round and cannot claim the reward
1521 | 奖励已领取 | Reward Claimed
1522 | 请选择心愿大奖 | Please select the grand prize of your choice
1523 | 无法领取今日新加入联盟的联盟积分奖励，请返回原盟或等待第二天领取 | You can’t claim Alliance Points for Alliances you joined today. Please return to your previous Alliance or try again tomorrow
1524 | 分路切换成功 | Lane switched successfully
1525 | 报名成功 | Registration Successful
1526 | 联盟战斗已开始，请稍后再试 | Alliance battle has already started, please try again later
1527 | 操作过于频繁，请稍后重试 | You’re doing that too often. Please try again later
1528 | 只有官员和盟主才能进行分路调整 | Only officials and alliance leaders can adjust lanes
1529 | 不在整备期，无法进行分路调整 | You can’t adjust lanes outside the preparation phase
1530 | 调整失败，分路至少需要部署一支部队 | Adjustment failed, each lane must have at least one unit
1531 | 英雄星级不足，请先升星 | Hero star level is not enough. Please upgrade your Heros' star level first
1532 | 您已领取所有奖励 | You have claimed all rewards
1533 | 仅盟主和官员可以修改预约 | Only the leader and officers can edit the reservation
1534 | 您的联盟创建尚未满48小时，无法参与本次活动 | Your Alliance was created less than 48 hr ago and cannot participate in this Event
1535 | 活动即将开始，无法修改时间！ | The event is about to start, time can’t be changed!
1536 | 活动已结束 | Events have ended
1537 | 选择时间与围猎巨兽活动时间重叠，请重新选择 | The selected time overlaps with the Behemoth Hunt Events. Please choose a different time
1538 | 修改时间不能与原预约时间相同 | The new time cannot be the same as the original booking time
1539 | 奖励不可领取 | Reward cannot be claimed
1540 | 联盟频道冷却中 | Alliance channel is on cooldown
1541 | 发送成功 | Sent successfully
1542 | 请先完成解锁拼图 | Please complete the unlock puzzle first
1543 | 没有可以提升战力的建筑 | No buildings can increase Power
1544 | 没有联盟，不能使用该召唤道具 | You must be in an Alliance to use this summoning item
1545 | 已达次数上限 | Attempt limit reached
1546 | 礼包当前不可用 | This Pack is currently unavailable
1547 | 必填项未填写 | Required field not filled in
1548 | 海妖出现倒计时： | Kraken Spawn Countdown:
1549 | 挑战次数不足 | Not enough challenge attempts
1550 | 达到每日购买次数上限 | You’ve reached today’s purchase limit
1551 | 必须先完成已接取的任务才能继续接取新任务 | You must complete your current quests before accepting new ones
1552 | 任务无法领取，请关闭弹窗重试 | Quest cannot be claimed. Please close this popup and try again
1553 | 邮件不存在 | Mail does not exist
1554 | 广告冷却中 | Ad on cooldown
1555 | 广告当前未开放 | Ads are currently unavailable
1556 | 广告观看次数已用完，请明日再来 | You’ve used up all available ad views. Please come back tomorrow
1557 | 每日可购买挑战券次数不足 | You’ve reached today’s purchase limit for Challenge Tickets
1558 | 活动已结束 | Events have ended
1559 | 赛季已结算，请稍后再试 | The season has ended. Please try again later
1560 | 保存成功 | Saved successfully
1561 | 出战英雄达到上限 | Deployed Heros are at max
1562 | 当前编队在外出征中，暂时无法调整阵容，请等待部队返回 | This formation is currently on an expedition and its lineup cannot be adjusted. Please wait for the troops to return
1563 | 您选择的角色是第一编队仅有的角色，无法移动；请调整第一编队阵容后尝试 | The character you selected is the only one in the first formation and cannot be moved. Please adjust the first formation lineup and try again
1564 | 请至少保留一位英雄至编队 | Please keep at least one Heros in the formation
1565 | 请先上阵英雄再挑战 | Deploy Heros before you challenge
1566 | 本赛季已结算，请重新进行挑战！ | This season has ended. Please start a new challenge!
1567 | 您尚未解锁研究院，请推进主线任务解锁 | You haven’t unlocked the Research Institute yet. Please progress the main story to unlock it
1568 | 由于您长时间未进行操作，暂时退出战斗界面，请稍后尝试 | You’ve been inactive for a while and have temporarily exited the battle screen. Please try again later
1569 | 灵感点数不足，请先提升天赋研究所等级 | Not enough Inspiration points. Please upgrade your Talent Research Institute first
1570 | 技能使用成功 | Skill used successfully
1571 | 医院中没有待治疗的士兵，无法使用该技能 | There are no wounded soldiers in the Infirmary, so this skill cannot be used
1572 | 使用成功 | Use successful
1573 | 体力不足 | Not enough Stamina
1574 | 当前在奇观副本内，只能使用定点迁城和奇观迁城 | While inside the Wonder instance, you can only use Targeted Teleport and Wonder Teleport
1575 | 当前不在奇观副本内，不能使用奇观迁城 | You are not in a Wonder instance and cannot use Wonder Teleport
1576 | 有队伍在城外，无法迁城 | You have troops outside the city so you cannot relocate
1577 | 请先加入联盟 | Please join an Alliance first
1578 | 钻石不足 | Not enough Gems
1579 | 活动尚未开启 | Events have not started yet
1580 | 今日领取已达上限 | You’ve reached today’s claim limit
1581 | 请等待宝箱刷新 | Please wait for the chest to refresh
1582 | 请先加入联盟 | Please join an Alliance first
1583 | 物品不足 | Not enough items
1584 | 核能基地争夺期间，处于核能基地领地的避难所，无法开启护盾 | During Nuclear Base Conquest battles, shelters within the Nuclear Base Conquest territory cannot activate shields
1585 | 该货车已消失 | This truck has disappeared
1586 | 该货车已有盟友驻防 | This truck is already garrisoned by allies
1587 | 当前已经存在尚未完成的联盟列车 | There is already an unfinished Alliance train
1588 | 只有盟主和官员才可派遣联盟列车 | Only the Alliance Leader and officers can dispatch Alliance trains
1589 | 当前已无联盟列车贸易次数 | No Alliance Train trades remaining
1590 | 加入联盟24小时后才能参与联盟列车 | You can join the Alliance Train only after you have been in the Alliance for 24h
1591 | 联盟列车出发前5分钟，无法排队或者更换位置 | You can’t queue or change your seat in the 5 min before the Alliance train departs
1592 | 今日购买次数已用完 | You have used up all purchase attempts for today
1593 | 当前无可掠夺货车，请稍后再试 | No trucks are currently available to raid. Please try again later
1594 | 今日已无刷新次数 | No refreshes left for today
1595 | 您今日已达劫掠次数上限，无法继续发起劫掠 | You’ve reached your raid limit for today and can’t launch any more raids
1596 | 该货车被劫掠次数已达上限，无法被劫掠 | This truck has reached its plundering limit and can no longer be plundered
1597 | 目标对象到达终点时间小于3分钟，无法进行掠夺 | The target will reach its destination in less than 3 min and cannot be plundered
1598 | 请先设置护卫编队 | Please set up an Escorts formation first
1599 | 暂无空闲中的编队，无法出征 | No idle formations available. Unable to deploy
1600 | 请先领取星星奖励，再升级建筑 | Please claim the star reward before upgrading the building
1601 | 升级成功 | Upgrade Successful
